date,rec,daten,BAA,AAA,t3m,t10y,t5y,t1y,time,spr1,spr5,spr10,hyspr
1854-12-01,1,01dec1854,,,,,,,1854m12,,,,
1855-01-01,0,01jan1855,,,,,,,1855m1,,,,
1855-02-01,0,01feb1855,,,,,,,1855m2,,,,
1855-03-01,0,01mar1855,,,,,,,1855m3,,,,
1855-04-01,0,01apr1855,,,,,,,1855m4,,,,
1855-05-01,0,01may1855,,,,,,,1855m5,,,,
1855-06-01,0,01jun1855,,,,,,,1855m6,,,,
1855-07-01,0,01jul1855,,,,,,,1855m7,,,,
1855-08-01,0,01aug1855,,,,,,,1855m8,,,,
1855-09-01,0,01sep1855,,,,,,,1855m9,,,,
1855-10-01,0,01oct1855,,,,,,,1855m10,,,,
1855-11-01,0,01nov1855,,,,,,,1855m11,,,,
1855-12-01,0,01dec1855,,,,,,,1855m12,,,,
1856-01-01,0,01jan1856,,,,,,,1856m1,,,,
1856-02-01,0,01feb1856,,,,,,,1856m2,,,,
1856-03-01,0,01mar1856,,,,,,,1856m3,,,,
1856-04-01,0,01apr1856,,,,,,,1856m4,,,,
1856-05-01,0,01may1856,,,,,,,1856m5,,,,
1856-06-01,0,01jun1856,,,,,,,1856m6,,,,
1856-07-01,0,01jul1856,,,,,,,1856m7,,,,
1856-08-01,0,01aug1856,,,,,,,1856m8,,,,
1856-09-01,0,01sep1856,,,,,,,1856m9,,,,
1856-10-01,0,01oct1856,,,,,,,1856m10,,,,
1856-11-01,0,01nov1856,,,,,,,1856m11,,,,
1856-12-01,0,01dec1856,,,,,,,1856m12,,,,
1857-01-01,0,01jan1857,,,,,,,1857m1,,,,
1857-02-01,0,01feb1857,,,,,,,1857m2,,,,
1857-03-01,0,01mar1857,,,,,,,1857m3,,,,
1857-04-01,0,01apr1857,,,,,,,1857m4,,,,
1857-05-01,0,01may1857,,,,,,,1857m5,,,,
1857-06-01,0,01jun1857,,,,,,,1857m6,,,,
1857-07-01,1,01jul1857,,,,,,,1857m7,,,,
1857-08-01,1,01aug1857,,,,,,,1857m8,,,,
1857-09-01,1,01sep1857,,,,,,,1857m9,,,,
1857-10-01,1,01oct1857,,,,,,,1857m10,,,,
1857-11-01,1,01nov1857,,,,,,,1857m11,,,,
1857-12-01,1,01dec1857,,,,,,,1857m12,,,,
1858-01-01,1,01jan1858,,,,,,,1858m1,,,,
1858-02-01,1,01feb1858,,,,,,,1858m2,,,,
1858-03-01,1,01mar1858,,,,,,,1858m3,,,,
1858-04-01,1,01apr1858,,,,,,,1858m4,,,,
1858-05-01,1,01may1858,,,,,,,1858m5,,,,
1858-06-01,1,01jun1858,,,,,,,1858m6,,,,
1858-07-01,1,01jul1858,,,,,,,1858m7,,,,
1858-08-01,1,01aug1858,,,,,,,1858m8,,,,
1858-09-01,1,01sep1858,,,,,,,1858m9,,,,
1858-10-01,1,01oct1858,,,,,,,1858m10,,,,
1858-11-01,1,01nov1858,,,,,,,1858m11,,,,
1858-12-01,1,01dec1858,,,,,,,1858m12,,,,
1859-01-01,0,01jan1859,,,,,,,1859m1,,,,
1859-02-01,0,01feb1859,,,,,,,1859m2,,,,
1859-03-01,0,01mar1859,,,,,,,1859m3,,,,
1859-04-01,0,01apr1859,,,,,,,1859m4,,,,
1859-05-01,0,01may1859,,,,,,,1859m5,,,,
1859-06-01,0,01jun1859,,,,,,,1859m6,,,,
1859-07-01,0,01jul1859,,,,,,,1859m7,,,,
1859-08-01,0,01aug1859,,,,,,,1859m8,,,,
1859-09-01,0,01sep1859,,,,,,,1859m9,,,,
1859-10-01,0,01oct1859,,,,,,,1859m10,,,,
1859-11-01,0,01nov1859,,,,,,,1859m11,,,,
1859-12-01,0,01dec1859,,,,,,,1859m12,,,,
1860-01-01,0,01jan1860,,,,,,,1860m1,,,,
1860-02-01,0,01feb1860,,,,,,,1860m2,,,,
1860-03-01,0,01mar1860,,,,,,,1860m3,,,,
1860-04-01,0,01apr1860,,,,,,,1860m4,,,,
1860-05-01,0,01may1860,,,,,,,1860m5,,,,
1860-06-01,0,01jun1860,,,,,,,1860m6,,,,
1860-07-01,0,01jul1860,,,,,,,1860m7,,,,
1860-08-01,0,01aug1860,,,,,,,1860m8,,,,
1860-09-01,0,01sep1860,,,,,,,1860m9,,,,
